sender_id,receiver_id,amount,device_id,location,merchant_name,transaction_type,timestamp,txn_frequency,user_avg_amount,amount_vs_avg,device_change,location_change,rule_score,fraud_probability,fraud_flag
USER002,USER004,147147,DEV6,Chennai,Amazon,CARD,2026-03-06 00:40:19.544181,30,7772,18.932964487905302,1,0,80,0.5148215,1
USER005,USER004,158283,DEV14,Bangalore,Amazon,ONLINE,2026-03-05 22:23:34.553201,20,4180,37.866746411483255,0,1,55,0.39134365,0
USER004,USER003,169399,DEV2,Delhi,Zomato,UPI,2026-03-06 17:39:10.560710,8,3959,42.788330386461226,1,0,40,0.27665308,0
USER005,USER004,99331,DEV14,Chennai,Flipkart,UPI,2026-03-06 11:59:14.568220,1,6290,15.791891891891892,1,0,40,0.37858468,0
USER003,USER004,134165,DEV13,Chennai,Amazon,ONLINE,2026-03-06 00:30:35.575787,32,2055,65.28710462287104,1,1,95,0.8047838,1
USER002,USER002,173174,DEV7,Chennai,Zomato,ONLINE,2026-03-05 22:05:51.583312,3,6271,27.615053420507095,1,0,40,0.35689425,0
USER002,USER005,75917,DEV15,Hyderabad,Paytm,ONLINE,2026-03-06 09:01:40.590827,25,3582,21.194025683975433,1,1,55,0.4636826,0
USER003,USER004,121739,DEV15,Chennai,Unknown,CARD,2026-03-06 00:43:39.597847,17,5674,21.455586887557278,1,0,60,0.4266242,0
USER004,USER001,153596,DEV15,Hyderabad,Unknown,UPI,2026-03-06 20:23:37.605390,25,6761,22.717941132968495,0,0,40,0.3296839,0
USER004,USER003,149609,DEV16,Hyderabad,Unknown,UPI,2026-03-06 01:29:50.612908,49,6749,22.167580382278857,1,1,95,0.77807254,1
USER003,USER003,24861,DEV15,Bangalore,Swiggy,CARD,2026-03-06 22:12:32.620423,14,6494,3.8283030489682783,0,1,15,0.16446544,0
USER001,USER005,37558,DEV14,Delhi,Swiggy,UPI,2026-03-06 17:47:47.628463,9,6950,5.404028776978417,0,1,15,0.16377582,0
USER002,USER005,145772,DEV14,Bangalore,Unknown,CARD,2026-03-06 14:33:47.634988,28,2103,69.31621493105088,0,1,75,0.48179966,0
USER003,USER004,89362,DEV17,Chennai,Swiggy,ONLINE,2026-03-06 11:17:46.643014,56,7421,12.041773345910254,0,1,75,0.60136545,1
USER001,USER005,132074,DEV20,Hyderabad,Paytm,CARD,2026-03-06 23:21:13.650034,37,6125,21.563102040816325,0,0,60,0.4767046,0
USER001,USER002,84784,DEV19,Chennai,Swiggy,ONLINE,2026-03-06 17:06:25.657059,26,4997,16.966980188112867,1,1,75,0.49057508,0
USER001,USER001,151833,DEV13,Hyderabad,Paytm,UPI,2026-03-05 23:06:12.666097,36,3190,47.59655172413793,1,0,60,0.46872202,0
USER002,USER003,148949,DEV8,Mumbai,Zomato,ONLINE,2026-03-06 01:52:54.674116,40,6389,23.313351072155267,1,1,95,0.78923553,1
USER003,USER002,57879,DEV3,Bangalore,Flipkart,ONLINE,2026-03-06 04:20:48.681134,40,4597,12.590602566891452,0,0,40,0.58638525,1
USER004,USER003,141360,DEV9,Bangalore,Zomato,UPI,2026-03-05 20:13:16.689153,40,4295,32.91268917345751,1,0,60,0.47109312,0
USER005,USER004,22311,DEV10,Hyderabad,Swiggy,CARD,2026-03-06 20:12:51.697169,58,7070,3.1557284299858557,1,1,35,0.46123925,0
USER005,USER004,11560,DEV11,Hyderabad,Swiggy,UPI,2026-03-06 09:35:10.705693,28,7127,1.622000841868949,1,1,35,0.23786637,0
USER004,USER005,45954,DEV6,Bangalore,Zomato,ONLINE,2026-03-06 10:07:24.713237,41,4703,9.771209866042952,0,1,35,0.69792444,1
USER001,USER002,24804,DEV19,Mumbai,Unknown,CARD,2026-03-06 14:10:55.721288,44,4386,5.655266757865937,0,1,35,0.26009482,0
USER001,USER001,194010,DEV16,Hyderabad,Zomato,UPI,2026-03-06 16:50:58.728804,31,2973,65.25731584258325,1,0,60,0.4407906,0
USER004,USER003,104266,DEV9,Chennai,Swiggy,UPI,2026-03-06 09:03:32.736837,22,6052,17.228354263053536,0,0,40,0.23159091,0
USER001,USER004,112944,DEV13,Bangalore,Paytm,ONLINE,2026-03-06 09:52:49.744427,3,7511,15.03714551990414,0,1,55,0.3218497,0
USER001,USER003,69348,DEV3,Chennai,Swiggy,ONLINE,2026-03-06 21:10:55.751441,56,6934,10.001153735217768,1,0,60,0.5989719,1
USER003,USER003,106418,DEV18,Delhi,Flipkart,UPI,2026-03-06 16:35:20.758969,8,7032,15.133390216154721,1,0,40,0.31044164,0
USER002,USER002,80724,DEV2,Chennai,Paytm,CARD,2026-03-06 08:14:10.766995,54,5619,14.366257341163909,0,0,60,0.4902622,0
USER005,USER002,180490,DEV3,Mumbai,Zomato,CARD,2026-03-06 13:26:09.774014,27,4424,40.79792043399638,0,1,75,0.4887707,0
USER002,USER005,131111,DEV14,Hyderabad,Flipkart,UPI,2026-03-06 15:07:53.781528,15,3148,41.648983481575605,0,1,55,0.442306,0
USER004,USER002,34451,DEV9,Hyderabad,Flipkart,ONLINE,2026-03-06 00:58:42.789549,53,2418,14.247725392886684,0,1,55,0.6381603,1
USER005,USER002,35385,DEV17,Hyderabad,Paytm,CARD,2026-03-06 16:58:57.796105,7,5199,6.806116560877092,1,0,0,0.3237306,0
USER002,USER004,103613,DEV15,Delhi,Swiggy,ONLINE,2026-03-06 03:08:44.804130,13,3348,30.94772998805257,0,0,60,0.33785966,0
USER005,USER002,114436,DEV19,Delhi,Unknown,CARD,2026-03-06 08:06:24.811149,43,5385,21.25088207985144,1,0,60,0.71748656,1
USER002,USER002,1653,DEV20,Chennai,Flipkart,ONLINE,2026-03-06 16:00:09.817168,45,2490,0.6638554216867469,1,0,20,0.29511508,0
USER001,USER005,36827,DEV20,Hyderabad,Paytm,CARD,2026-03-06 14:14:13.825209,47,7386,4.986054698077444,1,1,35,0.4869487,0
USER003,USER005,64856,DEV1,Delhi,Amazon,CARD,2026-03-06 20:46:14.831236,54,5621,11.53816046966732,0,1,75,0.59210795,1
USER005,USER002,1953,DEV12,Chennai,Flipkart,CARD,2026-03-06 13:01:47.839262,22,2166,0.9016620498614959,0,1,15,0.32026505,0
USER005,USER003,156429,DEV10,Bangalore,Flipkart,ONLINE,2026-03-06 21:11:23.846282,1,3350,46.69522388059701,1,1,55,0.47291553,0
USER002,USER003,91865,DEV6,Hyderabad,Paytm,CARD,2026-03-05 22:24:30.853806,25,4453,20.629912418594206,0,0,40,0.25885892,0
USER001,USER003,93470,DEV12,Mumbai,Unknown,CARD,2026-03-06 08:38:46.860820,21,5740,16.28397212543554,1,0,40,0.2860722,0
USER001,USER002,80224,DEV12,Mumbai,Zomato,ONLINE,2026-03-06 11:44:23.868854,51,2508,31.987240829346092,1,0,60,0.41566348,0
USER004,USER005,178832,DEV6,Delhi,Swiggy,UPI,2026-03-06 21:58:24.876401,24,4285,41.73442240373396,0,1,55,0.4825113,0
USER003,USER004,7043,DEV4,Mumbai,Amazon,CARD,2026-03-06 02:31:55.884446,31,4151,1.69669959046013,1,0,40,0.27298027,0
USER002,USER005,189697,DEV3,Hyderabad,Zomato,UPI,2026-03-05 21:13:18.891960,32,7469,25.397911366983532,0,1,75,0.46258414,0
